Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
WH_118657,EID_68657,Rural,Large,West,Zone 6,6,1,2,4780,Rented,24,0,0,0,217,21.0,,6,0,C,3,23,8064
WH_112664,EID_62664,Rural,Large,North,Zone 5,1,0,4,4947,Rented,49,0,0,1,100,30.0,,30,1,A+,2,25,43055
WH_106554,EID_56554,Rural,Large,North,Zone 6,5,2,4,4396,Rented,28,0,0,1,67,24.0,,13,0,B,5,29,15070
WH_108780,EID_58780,Rural,Large,North,Zone 6,8,0,2,5770,Company Owned,42,0,0,1,189,31.0,1999.0,27,1,B,4,6,33137
WH_121320,EID_71320,Rural,Large,West,Zone 5,2,0,5,4357,Rented,47,0,0,0,69,,,25,0,C,4,25,34151
WH_121586,EID_71586,Urban,Mid,West,Zone 2,5,1,3,3337,Rented,21,0,0,1,216,23.0,,18,0,B,6,12,21137
WH_110797,EID_60797,Rural,Mid,North,Zone 4,1,0,4,3241,Rented,70,1,0,1,252,39.0,,23,1,A+,3,26,33072
WH_105781,EID_55781,Rural,Large,North,Zone 6,0,0,4,4300,Company Owned,47,0,0,1,243,27.0,,24,0,A,3,28,30108
WH_112241,EID_62241,Rural,Large,South,Zone 5,1,0,2,4786,Rented,23,0,0,0,149,15.0,,18,0,B+,4,10,21087
WH_121875,EID_71875,Rural,Mid,North,Zone 3,7,3,2,4141,Company Owned,57,0,1,1,223,28.0,,22,1,B,5,27,26133
WH_123307,EID_73307,Rural,Large,West,Zone 5,6,0,4,4006,Company Owned,50,0,0,1,226,29.0,2008.0,17,0,C,6,25,23131
WH_121185,EID_71185,Rural,Large,North,Zone 6,6,0,2,4867,Company Owned,27,0,0,1,193,30.0,2007.0,16,1,A+,3,28,21094
WH_107233,EID_57233,Rural,Large,North,Zone 6,6,0,3,4491,Rented,31,0,0,1,74,38.0,2010.0,21,1,B+,3,6,28124
WH_123293,EID_73293,Rural,Large,West,Zone 5,3,0,4,4497,Rented,33,0,0,1,203,25.0,2011.0,15,0,B+,3,5,19070
WH_118014,EID_68014,Rural,Mid,North,Zone 3,3,2,2,5610,Company Owned,55,0,0,1,135,26.0,2003.0,22,0,C,3,27,28145
WH_111736,EID_61736,Rural,Small,East,Zone 1,0,1,3,4924,Rented,16,0,1,1,157,26.0,,20,0,C,6,16,26140
WH_100519,EID_50519,Rural,Mid,West,Zone 2,3,0,3,4834,Rented,25,0,0,1,233,27.0,2000.0,24,1,A,4,18,34149
WH_101755,EID_51755,Rural,Large,North,Zone 6,3,0,3,5287,Rented,26,0,0,0,77,37.0,2001.0,35,0,C,5,29,48061
WH_104508,EID_54508,Rural,Mid,North,Zone 3,0,0,5,4218,Company Owned,68,0,0,1,133,39.0,,18,0,C,2,27,23078
WH_120895,EID_70895,Rural,Large,North,Zone 6,7,0,3,5478,Company Owned,19,1,0,1,151,28.0,2021.0,4,0,B+,2,28,4094
WH_112919,EID_62919,Rural,Large,North,Zone 5,5,2,3,7650,Rented,54,0,0,1,115,26.0,,26,1,A+,3,14,34075
WH_122125,EID_72125,Rural,Large,North,Zone 6,4,1,2,4428,Rented,16,0,0,0,156,21.0,2010.0,15,1,A+,5,28,20087
WH_116109,EID_66109,Rural,Large,North,Zone 6,6,0,2,5051,Rented,52,0,0,0,134,16.0,2004.0,23,0,A,3,28,31111
WH_105263,EID_55263,Rural,Small,South,Zone 6,5,0,2,6428,Rented,59,0,0,1,99,26.0,,18,1,A+,5,2,23061
WH_101069,EID_51069,Rural,Large,West,Zone 5,4,0,4,4040,Rented,58,0,0,0,166,19.0,2013.0,14,0,B+,6,24,16072
WH_115184,EID_65184,Rural,Mid,North,Zone 4,4,1,3,5157,Rented,59,0,0,0,97,,,20,1,A,4,26,26067
WH_108419,EID_58419,Rural,Small,South,Zone 1,0,1,2,7698,Rented,37,0,0,1,217,53.0,,21,0,B+,6,30,24102
WH_121844,EID_71844,Rural,Large,West,Zone 5,4,1,5,5844,Company Owned,29,0,0,1,271,43.0,2011.0,14,0,B+,1,24,16121
WH_100665,EID_50665,Rural,Mid,West,Zone 2,3,0,2,5990,Rented,56,0,0,0,85,19.0,2012.0,17,0,A,5,1,23080
WH_119038,EID_69038,Rural,Large,North,Zone 6,8,3,2,5528,Company Owned,31,1,0,1,228,27.0,2005.0,15,1,C,2,23,20124
WH_113796,EID_63796,Rural,Mid,West,Zone 4,3,0,4,4865,Company Owned,26,0,0,0,146,30.0,2010.0,22,0,B+,4,26,28134
WH_123834,EID_73834,Urban,Mid,North,Zone 3,0,1,3,5290,Company Owned,40,0,0,1,88,31.0,,29,0,C,5,27,37135
WH_101699,EID_51699,Rural,Large,West,Zone 6,4,1,4,3340,Rented,25,0,1,1,177,28.0,,26,1,A+,3,6,34091
WH_112164,EID_62164,Rural,Mid,West,Zone 4,5,0,2,4871,Rented,22,0,0,1,190,,2007.0,26,1,B,5,26,32078
WH_118987,EID_68987,Urban,Mid,East,Zone 3,7,0,2,5499,Rented,49,0,0,0,155,25.0,,25,0,A,2,27,31102
WH_122115,EID_72115,Rural,Mid,North,Zone 2,5,0,2,4525,Rented,46,0,0,0,175,16.0,2022.0,4,1,C,3,1,5150
WH_104916,EID_54916,Rural,Mid,South,Zone 4,8,0,2,4611,Rented,47,0,0,0,255,15.0,2017.0,5,0,B,6,26,6133
WH_107065,EID_57065,Urban,Mid,West,Zone 4,8,0,5,4994,Rented,23,0,0,1,235,47.0,2016.0,13,0,B,4,11,16093
WH_102979,EID_52979,Rural,Large,West,Zone 5,3,0,4,5404,Rented,37,0,0,0,177,21.0,2002.0,37,0,C,4,14,50119
WH_113750,EID_63750,Rural,Large,North,Zone 6,4,1,2,3849,Company Owned,69,0,0,1,235,43.0,,13,0,A,1,23,16115
WH_108990,EID_58990,Rural,Mid,West,Zone 3,4,0,3,6200,Company Owned,43,0,0,1,169,22.0,2000.0,24,1,A+,5,19,31118
WH_106861,EID_56861,Rural,Mid,West,Zone 3,8,3,7,5454,Rented,29,0,0,0,57,27.0,,5,0,A,3,27,7139
WH_108168,EID_58168,Rural,Mid,South,Zone 2,8,0,3,5541,Rented,41,0,0,0,126,25.0,,20,1,A+,6,32,27136
WH_108128,EID_58128,Urban,Large,South,Zone 6,3,3,3,6488,Rented,45,0,0,0,99,20.0,2018.0,6,1,C,1,29,8126
WH_120920,EID_70920,Rural,Large,West,Zone 6,0,2,3,3684,Rented,43,0,0,0,68,20.0,,25,0,B,4,29,28151
WH_113644,EID_63644,Rural,Small,West,Zone 1,8,1,2,5991,Rented,57,0,0,1,103,67.0,,5,1,C,1,30,7070
WH_116475,EID_66475,Rural,Large,North,Zone 6,4,1,4,6072,Company Owned,25,0,0,1,144,27.0,2006.0,23,1,C,5,28,31110
WH_121368,EID_71368,Rural,Mid,West,Zone 4,8,0,4,4296,Rented,42,0,0,1,174,25.0,2008.0,14,0,B+,3,26,17111
WH_108384,EID_58384,Rural,Mid,West,Zone 4,3,3,4,6478,Rented,23,0,0,1,208,24.0,1998.0,24,0,A,4,11,30068
WH_105246,EID_55246,Rural,Mid,South,Zone 3,3,1,2,5547,Company Owned,46,0,0,1,217,25.0,2017.0,14,1,A+,4,19,19062
WH_113464,EID_63464,Rural,Large,North,Zone 6,3,2,3,3387,Rented,37,0,0,1,234,22.0,,6,1,A+,4,28,8150
WH_124140,EID_74140,Rural,Large,North,Zone 6,4,3,3,4387,Company Owned,43,0,0,0,202,38.0,2013.0,18,1,A+,6,23,23145
WH_103896,EID_53896,Rural,Mid,South,Zone 2,1,0,3,5195,Company Owned,66,0,0,1,152,39.0,,10,0,A,6,22,13099
WH_101721,EID_51721,Rural,Mid,West,Zone 4,2,1,5,4152,Company Owned,25,1,0,1,91,30.0,,10,0,C,6,26,13110
WH_121623,EID_71623,Rural,Small,South,Zone 1,0,0,2,5524,Rented,59,0,0,0,131,16.0,,23,0,A,6,21,30118
WH_103777,EID_53777,Rural,Mid,North,Zone 2,2,0,4,4495,Rented,69,0,0,1,238,23.0,,26,0,A,5,22,33106
WH_115210,EID_65210,Urban,Small,North,Zone 1,2,0,3,5225,Rented,58,0,0,1,169,29.0,,25,0,B+,5,3,29103
WH_115722,EID_65722,Rural,Small,North,Zone 6,3,4,3,4715,Company Owned,69,0,0,1,101,21.0,2010.0,18,1,A+,3,13,24090
WH_119408,EID_69408,Rural,Large,North,Zone 6,4,0,4,4876,Rented,32,0,0,0,89,18.0,2014.0,15,0,A,6,28,21063
WH_104050,EID_54050,Rural,Small,North,Zone 1,6,0,2,6768,Rented,27,0,0,1,65,25.0,,20,0,B,5,3,23117
WH_123450,EID_73450,Rural,Mid,West,Zone 4,5,2,4,4371,Company Owned,61,0,0,0,88,25.0,2017.0,5,0,A,5,11,7123
WH_112280,EID_62280,Rural,Mid,South,Zone 2,6,0,2,4566,Rented,38,0,1,1,233,34.0,2000.0,24,0,A,4,32,30096
WH_113894,EID_63894,Rural,Small,West,Zone 6,0,0,3,4667,Rented,58,0,1,1,84,,,4,0,B,1,15,5070
WH_107705,EID_57705,Rural,Mid,West,Zone 3,5,2,4,2795,Rented,43,0,0,0,112,18.0,,4,0,B+,3,19,5061
WH_112229,EID_62229,Rural,Large,South,Zone 5,4,2,2,4036,Rented,19,0,0,0,262,18.0,,5,1,B,3,10,6067
WH_107105,EID_57105,Rural,Large,North,Zone 6,0,0,2,5100,Company Owned,29,0,0,1,55,29.0,,14,0,A+,2,23,19100
WH_106372,EID_56372,Rural,Large,South,Zone 6,7,3,2,4445,Rented,50,0,0,1,74,26.0,,8,1,A+,6,29,11114
WH_107244,EID_57244,Rural,Mid,West,Zone 4,8,3,3,4847,Rented,69,0,0,1,197,34.0,,10,0,B+,3,11,11056
WH_111877,EID_61877,Rural,Large,North,Zone 5,5,0,2,5226,Rented,38,0,0,1,122,23.0,2001.0,24,0,B+,4,24,28097
WH_105062,EID_55062,Rural,Large,North,Zone 5,1,0,4,5066,Rented,24,1,0,1,195,34.0,,35,1,A,6,5,50147
WH_103602,EID_53602,Rural,Large,North,Zone 6,1,1,3,4154,Rented,16,0,0,0,66,15.0,,25,0,B+,6,23,29106
WH_115764,EID_65764,Rural,Small,South,Zone 6,7,0,1,4462,Company Owned,63,0,0,1,209,40.0,2007.0,23,0,B+,3,9,27130
WH_111856,EID_61856,Rural,Large,West,Zone 6,2,0,3,4345,Rented,64,0,0,1,119,32.0,,11,0,C,2,23,14090
WH_107756,EID_57756,Rural,Small,West,Zone 6,6,0,6,4867,Company Owned,53,0,0,1,175,25.0,2014.0,21,0,B,1,15,26112
WH_109638,EID_59638,Rural,Large,West,Zone 6,5,0,6,6479,Company Owned,56,1,0,1,222,37.0,2012.0,17,0,A,6,23,24088
WH_117207,EID_67207,Rural,Large,North,Zone 5,0,0,4,6072,Company Owned,28,0,0,1,77,25.0,,38,0,B+,2,14,47130
WH_116412,EID_66412,Rural,Small,North,Zone 6,6,0,5,7472,Company Owned,52,0,0,1,139,32.0,2013.0,19,0,A,4,13,26073
WH_110435,EID_60435,Rural,Large,North,Zone 6,0,0,4,4907,Rented,26,0,0,0,206,24.0,,18,0,C,2,23,23066
WH_110086,EID_60086,Rural,Large,West,Zone 5,5,0,3,4294,Rented,51,0,1,1,164,26.0,2008.0,16,1,A,5,14,23104
WH_110766,EID_60766,Rural,Mid,South,Zone 2,4,0,3,4626,Rented,57,0,0,0,257,20.0,1998.0,29,0,B,3,32,36140
WH_102956,EID_52956,Rural,Large,West,Zone 5,6,1,4,4241,Rented,45,0,0,0,173,21.0,2020.0,5,0,C,1,10,7078
WH_107869,EID_57869,Urban,Small,South,Zone 6,6,1,2,4934,Company Owned,39,0,0,1,98,28.0,2008.0,14,0,B+,4,9,17117
WH_111934,EID_61934,Rural,Large,North,Zone 6,7,0,3,4842,Rented,33,0,0,0,152,23.0,2001.0,33,1,B+,3,29,40101
WH_112106,EID_62106,Rural,Mid,West,Zone 2,5,2,2,5696,Company Owned,41,1,0,1,175,27.0,2017.0,9,0,B,6,12,11061
WH_109670,EID_59670,Rural,Large,North,Zone 6,7,3,2,6374,Company Owned,66,0,0,1,154,30.0,2005.0,27,1,C,5,7,35113
WH_105409,EID_55409,Rural,Large,North,Zone 6,1,1,2,8158,Rented,66,0,0,0,151,17.0,,9,0,A,5,23,12132
WH_107520,EID_57520,Urban,Mid,North,Zone 3,6,1,2,5092,Company Owned,21,0,0,1,132,27.0,2007.0,19,0,A,6,27,25079
WH_104439,EID_54439,Rural,Mid,North,Zone 2,4,4,3,5328,Rented,57,0,0,1,220,24.0,2018.0,5,1,B+,3,22,5076
WH_112198,EID_62198,Rural,Mid,North,Zone 4,4,0,3,3544,Rented,17,0,0,1,170,39.0,2007.0,28,1,A+,5,26,39134
WH_120605,EID_70605,Rural,Mid,North,Zone 4,0,1,2,3924,Company Owned,57,0,0,1,180,42.0,,5,0,B+,1,26,6140
WH_104690,EID_54690,Rural,Large,North,Zone 6,3,0,3,6892,Company Owned,24,1,0,1,270,27.0,2023.0,0,0,,0,6,11059
WH_101558,EID_51558,Rural,Large,North,Zone 6,1,2,4,4173,Company Owned,42,0,0,1,189,39.0,,18,1,A+,6,28,23077
WH_110892,EID_60892,Rural,Small,North,Zone 1,4,1,3,4722,Rented,53,0,0,0,238,26.0,,9,0,C,1,3,11137
WH_102488,EID_52488,Urban,Large,West,Zone 5,2,0,3,3961,Rented,48,0,0,1,72,43.0,,5,0,B,5,10,6085
WH_122857,EID_72857,Rural,Large,West,Zone 5,3,0,4,5112,Company Owned,44,0,1,1,258,39.0,2021.0,5,1,B+,2,14,7120
WH_103523,EID_53523,Rural,Large,South,Zone 5,0,0,3,4488,Company Owned,43,0,0,1,201,28.0,,23,0,B+,5,14,26094
WH_104542,EID_54542,Rural,Large,North,Zone 6,0,3,3,4586,Company Owned,23,0,0,0,212,29.0,,15,0,B,6,28,17107
WH_115371,EID_65371,Rural,Large,North,Zone 6,5,1,2,4208,Rented,15,0,0,0,248,29.0,2023.0,0,0,,0,23,6098
WH_103400,EID_53400,Rural,Mid,West,Zone 4,2,0,6,3718,Company Owned,52,0,0,1,210,26.0,,4,0,B,1,26,5079
WH_102272,EID_52272,Rural,Mid,South,Zone 3,1,4,3,3401,Company Owned,22,0,0,0,97,53.0,,6,1,B+,5,19,7129
WH_114429,EID_64429,Rural,Large,North,Zone 5,5,2,4,4795,Company Owned,59,0,0,0,176,37.0,,19,0,C,5,17,24142
WH_100233,EID_50233,Rural,Mid,West,Zone 4,0,3,5,5158,Company Owned,55,0,0,1,78,30.0,,5,0,A+,4,11,6136
WH_124341,EID_74341,Rural,Large,West,Zone 6,3,0,3,4831,Rented,52,0,0,1,228,21.0,2017.0,7,0,B+,6,23,8092
WH_112823,EID_62823,Rural,Large,East,Zone 5,8,3,3,4280,Rented,51,0,0,1,246,27.0,2001.0,24,1,B,2,14,28092
WH_109843,EID_59843,Rural,Large,West,Zone 5,5,0,3,2008,Rented,32,0,0,1,171,30.0,,15,0,B+,2,10,17094
WH_116676,EID_66676,Rural,Large,North,Zone 5,1,0,1,5363,Rented,45,0,0,0,91,46.0,,12,0,B,3,24,14146
WH_119954,EID_69954,Rural,Large,North,Zone 5,7,0,2,5577,Rented,33,0,0,0,268,18.0,2004.0,25,1,A+,6,14,32123
WH_121670,EID_71670,Rural,Small,West,Zone 6,3,0,3,4411,Company Owned,59,0,0,0,194,26.0,2012.0,15,0,B+,1,8,17145
WH_111392,EID_61392,Rural,Large,North,Zone 6,6,2,2,5892,Company Owned,52,1,0,1,180,54.0,,14,1,A+,6,23,18134
WH_109964,EID_59964,Rural,Large,South,Zone 5,4,0,3,5093,Company Owned,48,0,0,1,203,39.0,2012.0,19,1,A+,4,14,27099
WH_123176,EID_73176,Rural,Small,North,Zone 1,2,0,2,6897,Rented,43,0,0,0,177,20.0,,14,0,B,4,21,17100
WH_109727,EID_59727,Rural,Small,South,Zone 6,8,4,2,5071,Rented,32,0,0,0,210,29.0,2005.0,16,0,B+,4,9,19109
WH_123879,EID_73879,Rural,Large,North,Zone 6,7,1,3,6250,Rented,18,0,0,0,109,41.0,,4,0,C,2,6,6119
WH_113231,EID_63231,Rural,Large,West,Zone 5,2,1,4,5645,Rented,48,0,0,0,199,16.0,,23,0,B,5,14,27149
WH_117309,EID_67309,Rural,Mid,West,Zone 4,6,0,4,4023,Company Owned,53,0,0,1,127,28.0,2002.0,23,0,B+,2,11,29083
WH_113201,EID_63201,Rural,Mid,North,Zone 2,0,1,3,4862,Rented,39,0,0,0,166,19.0,,23,0,B+,4,1,28090
WH_120849,EID_70849,Rural,Small,South,Zone 6,1,0,4,4169,Rented,29,0,0,1,92,42.0,,24,1,A+,4,2,31090
WH_120896,EID_70896,Urban,Large,North,Zone 6,2,1,2,4968,Rented,23,0,0,0,87,23.0,,18,0,B,3,28,22120
WH_110542,EID_60542,Rural,Mid,North,Zone 4,3,0,2,4118,Company Owned,59,0,0,1,255,23.0,2012.0,18,1,A+,2,26,23061
WH_121488,EID_71488,Rural,Large,West,Zone 6,7,2,4,4301,Company Owned,69,0,0,1,123,39.0,,26,0,B,3,6,31130
WH_110420,EID_60420,Rural,Mid,North,Zone 4,7,0,3,4455,Company Owned,23,0,0,1,253,48.0,1998.0,30,0,C,3,26,39137
WH_118559,EID_68559,Rural,Small,West,Zone 6,1,3,3,6819,Company Owned,17,0,0,1,265,23.0,,16,0,A,2,15,20074
WH_110002,EID_60002,Rural,Mid,South,Zone 2,0,1,2,3339,Rented,66,0,1,1,128,37.0,,26,0,A,6,1,33063
WH_104647,EID_54647,Rural,Small,West,Zone 6,7,0,4,4932,Company Owned,34,0,0,1,206,28.0,2005.0,25,1,B,3,9,30129
WH_115572,EID_65572,Rural,Mid,South,Zone 3,7,0,2,6008,Company Owned,36,0,0,1,103,34.0,2008.0,21,0,C,3,27,29069
WH_114539,EID_64539,Rural,Mid,North,Zone 4,7,2,2,5153,Company Owned,50,0,0,1,130,36.0,1998.0,24,1,A+,6,26,31070
WH_117226,EID_67226,Rural,Large,North,Zone 6,1,0,3,5160,Company Owned,61,0,0,0,237,25.0,,20,0,B+,2,23,23084
WH_121018,EID_71018,Rural,Mid,South,Zone 3,0,0,2,3981,Company Owned,62,0,0,1,184,25.0,,25,0,B+,6,19,29057
WH_116740,EID_66740,Rural,Mid,South,Zone 2,0,2,2,5910,Company Owned,36,0,0,1,163,42.0,,10,0,A,6,32,13086
WH_115738,EID_65738,Rural,Small,West,Zone 6,0,1,2,5439,Company Owned,44,0,0,0,179,21.0,,16,0,A+,2,8,21107
WH_108458,EID_58458,Rural,Small,North,Zone 1,8,2,2,5516,Company Owned,56,0,0,0,219,24.0,,0,0,,0,21,3151
WH_123113,EID_73113,Rural,Mid,East,Zone 3,0,1,8,4784,Rented,44,0,0,0,133,24.0,,17,0,C,4,27,21132
WH_101726,EID_51726,Rural,Small,North,Zone 6,5,2,4,6363,Company Owned,38,0,0,1,217,29.0,2001.0,26,1,B,2,13,30123
WH_123831,EID_73831,Rural,Mid,North,Zone 2,7,1,3,4627,Company Owned,69,1,0,1,209,36.0,2002.0,33,0,B,3,12,39150
WH_124708,EID_74708,Rural,Large,North,Zone 6,8,0,4,4333,Rented,53,0,0,1,136,41.0,2018.0,6,0,B+,5,28,7078
WH_114554,EID_64554,Rural,Mid,West,Zone 4,5,0,2,4507,Company Owned,43,0,1,1,64,28.0,2012.0,17,0,A,2,11,24121
WH_110284,EID_60284,Rural,Large,North,Zone 6,7,3,2,5281,Company Owned,52,0,0,1,94,29.0,2018.0,6,0,B,6,28,7077
WH_118174,EID_68174,Rural,Large,South,Zone 6,5,0,3,5867,Company Owned,27,0,0,1,173,29.0,2010.0,20,0,B,4,29,24130
WH_104607,EID_54607,Rural,Large,North,Zone 6,8,0,4,5050,Company Owned,59,0,0,1,145,27.0,2017.0,10,0,C,4,28,13093
WH_122639,EID_72639,Rural,Mid,West,Zone 4,8,4,4,4507,Company Owned,49,1,0,1,261,,2020.0,4,1,C,2,11,6111
WH_124057,EID_74057,Rural,Mid,East,Zone 4,1,1,8,2932,Rented,37,0,0,1,203,35.0,,11,1,B,5,26,14103
WH_115753,EID_65753,Rural,Large,West,Zone 6,1,0,5,4188,Rented,17,0,0,1,229,28.0,,19,0,B+,2,23,22123
WH_120069,EID_70069,Rural,Large,North,Zone 6,1,0,3,4818,Company Owned,27,0,0,0,206,28.0,,9,0,B,6,6,11109
WH_111115,EID_61115,Rural,Large,North,Zone 6,6,0,2,2797,Rented,63,0,0,1,223,28.0,1997.0,24,0,A,6,6,30060
WH_101067,EID_51067,Rural,Mid,West,Zone 2,8,0,4,4790,Company Owned,34,0,0,1,109,48.0,2013.0,20,0,C,5,12,27064
WH_107280,EID_57280,Rural,Small,South,Zone 6,8,1,4,4278,Company Owned,60,0,0,1,144,26.0,2006.0,25,0,A,5,15,33089
WH_111258,EID_61258,Rural,Mid,North,Zone 4,0,1,4,4584,Company Owned,54,0,0,1,212,28.0,,6,0,C,3,26,7108
WH_110940,EID_60940,Rural,Large,South,Zone 6,5,0,2,6694,Rented,65,0,0,1,251,37.0,2014.0,14,0,B,1,29,17082
WH_118732,EID_68732,Rural,Mid,North,Zone 2,1,0,3,4764,Rented,44,0,0,1,73,33.0,,15,0,B,2,22,17079
WH_121691,EID_71691,Rural,Large,West,Zone 5,6,1,5,5011,Rented,68,0,0,1,223,28.0,2021.0,0,0,,0,14,6151
WH_116006,EID_66006,Rural,Mid,North,Zone 2,8,5,4,5490,Rented,62,0,0,1,201,31.0,,16,0,C,2,18,20109
